Gene Symbol	Gene Identifier	U2OS Phenotype	Qiagen Reproducibility Between HeLa and U2OS cells	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
DAND5	199699	"C,M,P"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
DDX5	1655	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
DERL2	51009	N	X	yes	gene							normal cells		
DHX58	79132	LA	X	yes	gene					lammellipodia				
DLG4	1742	N	X	yes	gene							normal cells		
DLG5	9231	"P,LA,C"	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
DLL4	54567	BC		yes	gene		big (large) cells							
DNAJB9		LA	X	yes	gene					lammellipodia				
DNASE1		BC		yes	gene		big (large) cells							
DNMT1	1786	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
DONSON	29980	"BC,C,M,P"	X	yes	gene		big (large) cells	condensed cells			metaphase		cells with protrusions and elongations	
DQX1	165545	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
DSCAML1	57453	"AF,M"	X	yes	gene	actin fibre					metaphase			
DSCR3	10311	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
DTL	51514	BC		yes	gene		big (large) cells							
DUX1		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
DYNC1I2		"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
DYSF	8291	"AF,M"	X	yes	gene	actin fibre					metaphase			
ECOP		"BC,C"	X	yes	gene		big (large) cells	condensed cells						
EDC3	80153	LA	X	yes	gene					lammellipodia				
EFEMP2	30008	AF		yes	gene	actin fibre								
EFHA2	286097	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
EI24	9538	"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
EIF2B5	8893	"P,BC"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
EIF2S1	1965	AF	X	yes	gene	actin fibre								
EIF3C		"M,P"	X	yes	gene						metaphase		cells with protrusions and elongations	
EIF3I	8668	"AF,C"	X	yes	gene	actin fibre		condensed cells						
EIF4A3	9775	"M,C"	X	yes	gene			condensed cells			metaphase			
ELAC2	60528	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
ELAVL4	1996	"N,C"	X	yes	gene			condensed cells				normal cells		
ELF3	1999	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
ELL3	80237	"N,LA"	X	yes	gene					lammellipodia		normal cells		
ELMO2	63916	P	X	yes	gene								cells with protrusions and elongations	
ELMO3	79767	BC	X	yes	gene		big (large) cells							
ENOSF1	55556	C	X	yes	gene			condensed cells						
EPSTI1	94240	"C,M,D"	X	yes	gene			condensed cells	debris		metaphase			
ERAF	51327	"P,AF,C"	X	yes	gene	actin fibre		condensed cells					cells with protrusions and elongations	
ESF1	51575	LA	X	yes	gene					lammellipodia				
EXOSC8	11340	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
EZH1	2145	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
FAM107A	11170	P	X	yes	gene								cells with protrusions and elongations	
FAM113A	64773	LA	X	yes	gene					lammellipodia				
FAM12B	64184	BC	X	yes	gene		big (large) cells							
FAM195B		"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
FAM69B	138311	"P,LA,C"	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
FAM89B	23625	C		yes	gene			condensed cells						
FANCB	2187	"P,BC"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
FASLG	356	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
FBXL6	26233	"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
FBXL7	23194	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
FBXO5	26271	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
FBXW8	26259	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
FGF22	27006	BC	X	yes	gene		big (large) cells							
FGFRL1	53834	"AF,BC"	X	yes	gene	actin fibre	big (large) cells							
FIBIN	387758	BC	X	yes	gene		big (large) cells							
FKBP1A	2280	"BC,M"	X	yes	gene		big (large) cells				metaphase			
FKBP2	2286	P		yes	gene								cells with protrusions and elongations	
FLJ21075	80099	N	X	yes	gene							normal cells		
FMO5	2330	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
FNTB	2342	N		yes	gene							normal cells		
FOSL1		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
FOSL2	2355	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
FUCA2	2519	"N,C"	X	yes	gene			condensed cells				normal cells		
FXYD1	5348	BC	X	yes	gene		big (large) cells							
FZD2	2535	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
GABBR1	2550	AF		yes	gene	actin fibre								
GABRA3	2556	"C,M"	X	yes	gene			condensed cells			metaphase			
GABRG3	2567	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
GALNT4	8693	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
GAPDH		C	X	yes	gene			condensed cells						
GBA		"C,M,AF"	X	yes	gene	actin fibre		condensed cells			metaphase			
GCNT1	2650	AF	X	yes	gene	actin fibre								
GDF3	9573	"AF,M"	X	yes	gene	actin fibre					metaphase			
GFM1	85476	"LA,P"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
GGTL3	2686	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
GIMAP5	55340	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
GLIS1	148979	C	X	yes	gene			condensed cells						
GMEB1	10691	"C,AF"	X	yes	gene	actin fibre		condensed cells						
GNA12		"P,C,D"	X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
GNAI1		"BC,BC,AF"	X	yes	gene	actin fibre	big (large) cells							
GOLPH3L	55204	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
GORASP2	26003	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
GOSR1	9527	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
GOSR2	9570	"C,M,LA"	X	yes	gene			condensed cells		lammellipodia	metaphase			
GPR37	2861	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
GPR89A		"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
GRIA4	2893	"C,M"	X	yes	gene			condensed cells			metaphase			
GRINL1A		"N,LA"	X	yes	gene					lammellipodia		normal cells		
GSPT1	2935	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
GTF3A	GTF3A	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
GTF3C6		"N,LA"	X	yes	gene					lammellipodia		normal cells		
GUCA2A	2980	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
GZMM	3004	"N,LA"	X	yes	gene					lammellipodia		normal cells		
HDAC1	3065	"P,C,M"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
HEBP1	50865	P	X	yes	gene								cells with protrusions and elongations	
HHIPL2	79802	"N,C"	X	yes	gene			condensed cells				normal cells		
HIPK2	28996	P	X	yes	gene								cells with protrusions and elongations	
HIST1H2AE	3012	"N,C"	X	yes	gene			condensed cells				normal cells		
HIST1H2BO	8348	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
HLA-DQB2	3120	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
HN1	51155	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
HOXC5	3222	P	X	yes	gene								cells with protrusions and elongations	
HP		"N,P"	X	yes	gene							normal cells	cells with protrusions and elongations	
HSD17B10	3028	C	X	yes	gene			condensed cells						
HSPA6		"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
HTRA2	27429	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
IER3IP1	51124	"N,P"	X	yes	gene							normal cells	cells with protrusions and elongations	
IGSF6	10261	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
IGSF9	57549	AF	X	yes	gene	actin fibre								
IL12A	3592	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
IL2RG	3561	AF	X	yes	gene	actin fibre								
INF2	64423	"N,C,LA"	X	yes	gene			condensed cells		lammellipodia		normal cells		
INPP4A	3631	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
INSIG1	3638	LA	X	yes	gene					lammellipodia				
IRX4	50805	"C,M"	X	yes	gene			condensed cells			metaphase			
JMJD6	23210	BC	X	yes	gene		big (large) cells							
KATNAL1		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
KCND1	3750	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
KCNIP1	30820	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
KCNK10	54207	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
KCNK16	83795	"N,LA"	X	yes	gene					lammellipodia		normal cells		
KCNN3		"N,AF,M"	X	yes	gene	actin fibre					metaphase	normal cells		
KCNT2	343450	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
KEAP1	9817	"AF,C,M"	X	yes	gene	actin fibre		condensed cells			metaphase			
KERA	11081	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
KIAA0090	23065	C	X	yes	gene			condensed cells						
KIAA0157	23172	C	X	yes	gene			condensed cells						
KIAA1026	23254	"BC,P,AF"	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
KIAA1407	57577	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
KIAA1468	57614	LA	X	yes	gene					lammellipodia				
KIAA1529	57653	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
KIAA1604	57703	"M,C"	X	yes	gene			condensed cells			metaphase			
KIAA1622	57718	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
KIAA1737	85457	N	X	yes	gene							normal cells		
KIAA1946	165215	"P,AF"	X	yes	gene	actin fibre							cells with protrusions and elongations	
KIF11	3832	M	X	yes	gene						metaphase			
KIF12	113220	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
KIF13A	63971	"N,BC"	X	yes	gene		big (large) cells					normal cells		
KIF15	56992	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
KIF20A	10112	LA	X	yes	gene					lammellipodia				
KIF23	9493	"BC,BC"	X	yes	gene		big (large) cells							
KIF3A	11127	C	X	yes	gene			condensed cells						
KLHDC2	23588	BC	X	yes	gene		big (large) cells							
KLK1	3816	"N,LA"	X	yes	gene					lammellipodia		normal cells		
KPNB1	3837	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
KRIT1	889	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
KSR1	8844	"AF,LA"	X	yes	gene	actin fibre				lammellipodia				
KY	339855	"BC,P,AF"	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
LEPROT	54741	"BC,C"	X	yes	gene		big (large) cells	condensed cells						
LGI2	55203	"C,M"	X	yes	gene			condensed cells			metaphase			
LIF	3976	P	X	yes	gene								cells with protrusions and elongations	
LIG4	3981	N		yes	gene							normal cells		
LILRB1	10859	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
LILRB2	10288	"AF,BC"	X	yes	gene	actin fibre	big (large) cells							
LIN7C	55327	"N,C"	X	yes	gene			condensed cells				normal cells		
LSR	51599	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
MAGEB1	4112	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MAGED1	9500	N	X	yes	gene							normal cells		
MAGEE1	57692	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MAGEE2	139599	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
MAGEH1	28986	LA	X	yes	gene					lammellipodia				
MAGI1	9223	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MAST1	22983	P	X	yes	gene								cells with protrusions and elongations	
MAX	4149	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
MC1R	4157	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
MCM10	55388	N		yes	gene							normal cells		
METTL1		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MFAP1	4236	"BC,M,D"	X	yes	gene		big (large) cells		debris		metaphase			
MFAP3	4238	"LA,P"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
MFSD4	148808	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MGAT2	4247	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MGAT5	4249	BC	X	yes	gene		big (large) cells							
MGC29891	126626	"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
MIA	8190	"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
MID1IP1	58526	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
MLN	4295	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MSL3L1	10943	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MSN	4478	"AF,M"	X	yes	gene	actin fibre					metaphase			
MSTN	2660	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MT3		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
MYH9	4627	"P,BC"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
NACA		C		yes	gene			condensed cells						
NAGA		N	X	yes	gene							normal cells		
NANOG		"LA,C"	X	yes	gene			condensed cells		lammellipodia				
NANS		"AF,C"	X	yes	gene	actin fibre		condensed cells						
NCOA5	57727	AF		yes	gene	actin fibre								
NCR1	9437	"C,LA,P"	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
NCR3	259197	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
NDC80	10403	"M,BC"	X	yes	gene		big (large) cells				metaphase			
NDE1	54820	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
NDOR1		"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
NDUFA7	4701	"P,BC"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
NEDD4	4734	"M,AF"	X	yes	gene	actin fibre					metaphase			
NEDD8	4738	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
NFIA	4774	"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
NGFR	4804	"P,C,LA"	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
NHP2L1	4809	"BC,D"	X	yes	gene		big (large) cells		debris					
NINJ2	4815	"N,P"	X	yes	gene							normal cells	cells with protrusions and elongations	
NKD2	85409	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
NLRP9	338321	BC	X	yes	gene		big (large) cells							
NNT	23530	"LA,C"	X	yes	gene			condensed cells		lammellipodia				
NOL1	4839	"C,BC"	X	yes	gene		big (large) cells	condensed cells						
NONO		"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
NOS3	4846	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
NOTUM		"C,BC"	X	yes	gene		big (large) cells	condensed cells						
NOX4	50507	P	X	yes	gene								cells with protrusions and elongations	
NPFFR2	10886	C		yes	gene			condensed cells						
NPHS1	4868	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
NR2F6	2063	P	X	yes	gene								cells with protrusions and elongations	
NR3C1	2908	"BC,M"	X	yes	gene		big (large) cells				metaphase			
NR4A3	8013	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
NRN1	51299	LA	X	yes	gene					lammellipodia				
NSUN4	387338	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
NUAK2	81788	"N,BC"	X	yes	gene		big (large) cells					normal cells		
NUCB1	4924	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
NUF2	83540	M	X	yes	gene						metaphase			
NUMA1	4926	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
NUMBL	9253	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
NUP205	23165	BC		yes	gene		big (large) cells							
NXF1	10482	"BC,LA,D"	X	yes	gene		big (large) cells		debris	lammellipodia				
NXF5		"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
OFCC1	266553	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
OPCML	4978	BC		yes	gene		big (large) cells							
OPTN	10133	"N,P"	X	yes	gene							normal cells	cells with protrusions and elongations	
OR2F1		"P,D"	X	yes	gene				debris				cells with protrusions and elongations	
OR5B3	441608	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
OR8K1	390157	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
ORC4L	5000	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
OVOL1	5017	"N,BC,AF"	X	yes	gene	actin fibre	big (large) cells					normal cells		
PAX2	5076	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
PCBD1	5092	N	X	yes	gene							normal cells		
PCDH24	54825	"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
PCDHB10		BC	X	yes	gene		big (large) cells							
PCDHB7	56129	C	X	yes	gene			condensed cells						
PCDHB9	56127	"LA,C"	X	yes	gene			condensed cells		lammellipodia				
PDCD1LG2	80380	N		yes	gene							normal cells		
PDE4DIP		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
PDYN	5173	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
PEG3	5178	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
PEX11A	8800	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
