Gene Symbol	Gene Identifier	HeLa Phenotype	HeLa Reproducibility Between Primary and Validation Screen	Qiagen reproducibility between HeLa and U2OS cells	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
MAGEB1	4112	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
MAGEE1	57692	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
MAGI1	9223	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
METTL1		"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
MFSD4	148808	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
MGAT2	4247	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
MLN	4295	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
MSL3L1	10943	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
MSTN	2660	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
MT3		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
NCR3	259197	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
NEDD8	4738	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
NR4A3	8013	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
NUMBL	9253	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
OR5B3	441608	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
PDE4DIP		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
PEG3	5178	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
PEX13	5194	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
PHCA	55331	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
POLR2F	5435	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
PUM1	9698	"AF,BC"		X	yes	gene	actin fibre	big (large) cells							
RAB1B	81876	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
RAP2C	57826	"AF,BC"	X	X	yes	gene	actin fibre	big (large) cells							
RAPH1	65059	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
RPL35		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
RPLP0		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
SLC26A1	10861	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
SLC2A13	114134	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
SLC46A2	57864	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
SPATA20	64847	"BC,AF"	X		yes	gene	actin fibre	big (large) cells							
SPIN2A		"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
SPSB3	90864	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
THAP3	90326	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
TPCN1	53373	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
TRAPPC2L	51693	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
TRPM8	79054	"BC,AF"	X	X	yes	gene	actin fibre	big (large) cells							
UBB		"AF,BC"		X	yes	gene	actin fibre	big (large) cells							
UNC93A	54346	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
ZCCHC13	389874	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
ZNF177	7730	"BC,AF"		X	yes	gene	actin fibre	big (large) cells							
CHIT1	1118	"AF,C,M"		X	yes	gene	actin fibre		condensed cells			metaphase			
GBA		"C,M,AF"		X	yes	gene	actin fibre		condensed cells			metaphase			
KEAP1	9817	"AF,C,M"	X	X	yes	gene	actin fibre		condensed cells			metaphase			
BCKDHA	593	"C,AF,P"		X	yes	gene	actin fibre		condensed cells					cells with protrusions and elongations	
ERAF	51327	"P,AF,C"	X	X	yes	gene	actin fibre		condensed cells					cells with protrusions and elongations	
OPCML	4978	"P,AF,C"	X		yes	gene	actin fibre		condensed cells					cells with protrusions and elongations	
C4ORF18	51313	"AF,C"		X	yes	gene	actin fibre		condensed cells						
COL9A3	1299	"AF,C"	X	X	yes	gene	actin fibre		condensed cells						
CPNE5	57699	"AF,C"		X	yes	gene	actin fibre		condensed cells						
EIF3I	8668	"AF,C"	X	X	yes	gene	actin fibre		condensed cells						
GMEB1	10691	"C,AF"		X	yes	gene	actin fibre		condensed cells						
NANS		"AF,C"	X	X	yes	gene	actin fibre		condensed cells						
POLH	5429	"AF,C"		X	yes	gene	actin fibre		condensed cells						
SHH	6469	"AF,C"	X		yes	gene	actin fibre		condensed cells						
SMUG1	23583	"C,AF"	X		yes	gene	actin fibre		condensed cells						
VAX1	11023	"AF,C"	X	X	yes	gene	actin fibre		condensed cells						
VNN3	55350	"C,AF"		X	yes	gene	actin fibre		condensed cells						
KSR1	8844	"AF,LA"		X	yes	gene	actin fibre				lammellipodia				
RTN1	6252	"LA,AF"	X		yes	gene	actin fibre				lammellipodia				
TRIM9	114088	"LA,AF"	X	X	yes	gene	actin fibre				lammellipodia				
KCNN3		"N,AF,M"	X	X	yes	gene	actin fibre					metaphase	normal cells		
DSCAML1	57453	"AF,M"		X	yes	gene	actin fibre					metaphase			
DYSF	8291	"AF,M"		X	yes	gene	actin fibre					metaphase			
GDF3	9573	"AF,M"	X	X	yes	gene	actin fibre					metaphase			
MSN	4478	"AF,M"		X	yes	gene	actin fibre					metaphase			
NEDD4	4734	"M,AF"	X	X	yes	gene	actin fibre					metaphase			
SUV39H1	6839	"M,AF"		X	yes	gene	actin fibre					metaphase			
UPK1A		"M,AF"		X	yes	gene	actin fibre					metaphase			
ZNF234	10780	"AF,M"		X	yes	gene	actin fibre					metaphase			
CLU	1191	"N,AF"		X	yes	gene	actin fibre						normal cells		
C11ORF48	79081	"AF,P"		X	yes	gene	actin fibre							cells with protrusions and elongations	
CHST5	23563	"P,AF"	X	X	yes	gene	actin fibre							cells with protrusions and elongations	
CLIC2	1193	"P,AF"		X	yes	gene	actin fibre							cells with protrusions and elongations	
DLL4	54567	"P,AF"			yes	gene	actin fibre							cells with protrusions and elongations	
KIAA1946	165215	"P,AF"		X	yes	gene	actin fibre							cells with protrusions and elongations	
PTDSS2	81490	"P,AF"	X		yes	gene	actin fibre							cells with protrusions and elongations	
TP53BP1	7158	"P,AF"	X		yes	gene	actin fibre							cells with protrusions and elongations	
CCDC114	93233	AF		X	yes	gene	actin fibre								
CDH10	1008	AF		X	yes	gene	actin fibre								
CEP164	22897	AF			yes	gene	actin fibre								
EIF2S1	1965	AF		X	yes	gene	actin fibre								
GCNT1	2650	AF	X	X	yes	gene	actin fibre								
IGSF9	57549	AF		X	yes	gene	actin fibre								
IL2RG	3561	AF		X	yes	gene	actin fibre								
SHROOM2	357	AF	X	X	yes	gene	actin fibre								
TNFRSF1A	7132	AF	X	X	yes	gene	actin fibre								
DONSON	29980	"BC,C,M,P"	X	X	yes	gene		big (large) cells	condensed cells			metaphase		cells with protrusions and elongations	
AMTN	401138	"BC,C,M"		X	yes	gene		big (large) cells	condensed cells			metaphase			
PTRH2	51651	"C,M,BC"		X	yes	gene		big (large) cells	condensed cells			metaphase			
CCDC132	55610	"BC,P,C"		X	yes	gene		big (large) cells	condensed cells					cells with protrusions and elongations	
COPE	11316	"BC,P,C"		X	yes	gene		big (large) cells	condensed cells					cells with protrusions and elongations	
POLR2L	5441	"BC,P,C"			yes	gene		big (large) cells	condensed cells					cells with protrusions and elongations	
PTGES	9536	"BC,P,C"	X	X	yes	gene		big (large) cells	condensed cells					cells with protrusions and elongations	
C2ORF60	129450	"BC,C"	X	X	yes	gene		big (large) cells	condensed cells						
C9ORF90	203245	"BC,C"		X	yes	gene		big (large) cells	condensed cells						
CECR6	27439	"BC,C"		X	yes	gene		big (large) cells	condensed cells						
ECOP		"BC,C"		X	yes	gene		big (large) cells	condensed cells						
GGTL3	2686	"BC,C"		X	yes	gene		big (large) cells	condensed cells						
HTRA2	27429	"BC,C"	X	X	yes	gene		big (large) cells	condensed cells						
IL12A	3592	"BC,C"		X	yes	gene		big (large) cells	condensed cells						
INPP4A	3631	"BC,C"		X	yes	gene		big (large) cells	condensed cells						
LEPROT	54741	"BC,C"	X	X	yes	gene		big (large) cells	condensed cells						
NOL1	4839	"C,BC"		X	yes	gene		big (large) cells	condensed cells						
NOTUM		"C,BC"		X	yes	gene		big (large) cells	condensed cells						
RPL18		"C,BC"	X	X	yes	gene		big (large) cells	condensed cells						
RPL24		"BC,C"	X	X	yes	gene		big (large) cells	condensed cells						
RPL34		"BC,C"	X	X	yes	gene		big (large) cells	condensed cells						
RPL4		"BC,C"	X	X	yes	gene		big (large) cells	condensed cells						
RPLP1		"C,BC"	X	X	yes	gene		big (large) cells	condensed cells						
RPS21	6227	"C,BC"	X	X	yes	gene		big (large) cells	condensed cells						
RPS5	6193	"C,BC"	X	X	yes	gene		big (large) cells	condensed cells						
RPS9		"C,BC"	X	X	yes	gene		big (large) cells	condensed cells						
SSBP3		"BC,C"		X	yes	gene		big (large) cells	condensed cells						
ZDHHC19	131540	"C,BC"		X	yes	gene		big (large) cells	condensed cells						
NXF1	10482	"BC,LA,D"	X	X	yes	gene		big (large) cells		debris	lammellipodia				
CLSPN	63967	"BC,P,M,D"	X	X	yes	gene		big (large) cells		debris		metaphase		cells with protrusions and elongations	
MFAP1	4236	"BC,M,D"	X	X	yes	gene		big (large) cells		debris		metaphase			
NHP2L1	4809	"BC,D"	X	X	yes	gene		big (large) cells		debris					
CRNKL1	51340	"M,BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia	metaphase			
CYP2B6	1555	"BC,LA,M"		X	yes	gene		big (large) cells			lammellipodia	metaphase			
THRA		"BC,LA,M"		X	yes	gene		big (large) cells			lammellipodia	metaphase			
UBC	7316	"LA,BC,M"		X	yes	gene		big (large) cells			lammellipodia	metaphase			
CDKL1	8814	"LA,BC,P"		X	yes	gene		big (large) cells			lammellipodia			cells with protrusions and elongations	
CXXC4	80319	"BC,LA,P"	X	X	yes	gene		big (large) cells			lammellipodia			cells with protrusions and elongations	
PEX26	55670	"BC,LA,P"	X	X	yes	gene		big (large) cells			lammellipodia			cells with protrusions and elongations	
AP4E1	23431	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
BEX2		"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
C1QA	712	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
CEBPD	1052	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
CLPS	1208	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
EFHA2	286097	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
FAM195B		"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
FAM89B	23625	"BC,LA"			yes	gene		big (large) cells			lammellipodia				
GOSR1	9527	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
GPR89A		"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
IGSF6	10261	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
KERA	11081	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
KIF12	113220	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
LILRB1	10859	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
MAX	4149	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
MC1R	4157	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
NONO		"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
PEX11A	8800	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
PHF11	51131	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
PIP5K1C	23396	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
POLE	5426	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
PRSS22	64063	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
RAB17	64284	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
RPH3AL	9501	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
RPL10L	140801	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
RUNDC2A	84127	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
SERINC1	57515	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
SPRY2	10253	"LA,BC"		X	yes	gene		big (large) cells			lammellipodia				
STAR	6770	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
TBX21	30009	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
TIMM10	26519	"BC,LA"		X	yes	gene		big (large) cells			lammellipodia				
ZNF331	55422	"BC,LA"	X	X	yes	gene		big (large) cells			lammellipodia				
ANLN	54443	"BC,P,M"	X	X	yes	gene		big (large) cells				metaphase		cells with protrusions and elongations	
CDCA8	55143	"BC,P,M"	X	X	yes	gene		big (large) cells				metaphase		cells with protrusions and elongations	
CENPI		"BC,M,P"	X	X	yes	gene		big (large) cells				metaphase		cells with protrusions and elongations	
ABCB10	23456	"BC,Z,M"	X	X	yes	gene		big (large) cells				metaphase			telophase
CDCA5	113130	"M,BC"	X	X	yes	gene		big (large) cells				metaphase			
CENPE	1062	"BC,M"	X	X	yes	gene		big (large) cells				metaphase			
CEP192	55125	"BC,M"	X	X	yes	gene		big (large) cells				metaphase			
CHEK1	1111	"M,BC"	X	X	yes	gene		big (large) cells				metaphase			
FKBP1A	2280	"BC,M"		X	yes	gene		big (large) cells				metaphase			
NDC80	10403	"M,BC"	X	X	yes	gene		big (large) cells				metaphase			
NR3C1	2908	"BC,M"		X	yes	gene		big (large) cells				metaphase			
RPL28	6158	"BC,M"	X	X	yes	gene		big (large) cells				metaphase			
SF3B14	51639	"BC,M"	X	X	yes	gene		big (large) cells				metaphase			
SMU1	55234	"M,BC"	X	X	yes	gene		big (large) cells				metaphase			
SOLH	6650	"BC,M"	X	X	yes	gene		big (large) cells				metaphase			
SON	6651	"M,BC"	X	X	yes	gene		big (large) cells				metaphase			
TAS2R49	259295	"M,BC"		X	yes	gene		big (large) cells				metaphase			
TP53I13	90313	"BC,M"		X	yes	gene		big (large) cells				metaphase			
BCL2L1	598	"N,BC,P"	X	X	yes	gene		big (large) cells					normal cells	cells with protrusions and elongations	
ASPH	444	"N,BC"	X	X	yes	gene		big (large) cells					normal cells		
CARS	833	"N,BC"	X	X	yes	gene		big (large) cells					normal cells		
KIF13A	63971	"N,BC"	X	X	yes	gene		big (large) cells					normal cells		
NUAK2	81788	"N,BC"		X	yes	gene		big (large) cells					normal cells		
PVRL3	25945	"N,BC"	X	X	yes	gene		big (large) cells					normal cells		
RSC1A1	6248	"N,BC"	X	X	yes	gene		big (large) cells					normal cells		
TMPRSS9	360200	"N,BC"	X	X	yes	gene		big (large) cells					normal cells		
ADAMTS18	170692	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
AGR2	10551	"P,BC"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
BRD9	65980	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C15ORF42	90381	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
C20ORF20	55257	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C6ORF182	285753	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
C6ORF204	387119	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
CACNA1F		"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
DSCR3	10311	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
EIF2B5	8893	"P,BC"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
FANCB	2187	"P,BC"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
FBXO5	26271	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
FZD2	2535	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
GOLPH3L	55204	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
HSPA6		"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
KIAA1529	57653	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
MYH9	4627	"P,BC"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
NDUFA7	4701	"P,BC"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
NUMA1	4926	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
ORC4L	5000	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
PLXNA2		"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
PRRX2	51450	"BC,P"	X		yes	gene		big (large) cells						cells with protrusions and elongations	
PZP	5858	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
RPL39L	116832	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
SLC45A2	51151	"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
THSD3	145501	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
USP18		"BC,P"	X	X	yes	gene		big (large) cells						cells with protrusions and elongations	
ZNF507	22847	"BC,P"		X	yes	gene		big (large) cells						cells with protrusions and elongations	
CCDC142	84865	BC		X	yes	gene		big (large) cells							
CDC6	990	BC		X	yes	gene		big (large) cells							
ELMO3	79767	BC		X	yes	gene		big (large) cells							
FAM12B	64184	BC	X	X	yes	gene		big (large) cells							
FGF22	27006	BC	X	X	yes	gene		big (large) cells							
FIBIN	387758	BC	X	X	yes	gene		big (large) cells							
FXYD1	5348	BC		X	yes	gene		big (large) cells							
JMJD6	23210	BC	X	X	yes	gene		big (large) cells							
KIF23	9493	"BC,BC"	X	X	yes	gene		big (large) cells							
KLHDC2	23588	BC		X	yes	gene		big (large) cells							
MGAT5	4249	BC	X	X	yes	gene		big (large) cells							
NACA		BC			yes	gene		big (large) cells							
NLRP9	338321	BC		X	yes	gene		big (large) cells							
PCDHB10		BC	X	X	yes	gene		big (large) cells							
PRKAG2	51422	BC		X	yes	gene		big (large) cells							
PTPRE	5791	BC	X	X	yes	gene		big (large) cells							
RAD51C	5889	BC		X	yes	gene		big (large) cells							
RFWD2	64326	BC		X	yes	gene		big (large) cells							
RPL14		BC	X	X	yes	gene		big (large) cells							
RPL35A	6165	BC	X		yes	gene		big (large) cells							
SC65	10609	BC	X	X	yes	gene		big (large) cells							
SLC25A17	10478	BC		X	yes	gene		big (large) cells							
SMURF1	57154	BC	X	X	yes	gene		big (large) cells							
USO1	8615	BC		X	yes	gene		big (large) cells							
WIPI1	55062	BC		X	yes	gene		big (large) cells							
YARS	8565	BC	X		yes	gene		big (large) cells							
ZNF16		BC		X	yes	gene		big (large) cells							
EPSTI1	94240	"C,M,D"	X	X	yes	gene			condensed cells	debris		metaphase			
CDC42		"P,C,D"	X	X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
COPG	22820	"C,D,P"	X	X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
GNA12		"P,C,D"	X	X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
SOCS2	8835	"P,C,D"		X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
GOSR2	9570	"C,M,LA"		X	yes	gene			condensed cells		lammellipodia	metaphase			
INF2	64423	"N,C,LA"	X	X	yes	gene			condensed cells		lammellipodia		normal cells		
VARS2	57176	"N,C,LA"		X	yes	gene			condensed cells		lammellipodia		normal cells		
CR2	1380	"C,LA,P"	X	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
DLG5	9231	"P,LA,C"		X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
FAM69B	138311	"P,LA,C"	X	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
NCR1	9437	"C,LA,P"	X	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
NGFR	4804	"P,C,LA"	X	X	yes	gene			condensed cells		lammellipodia			cells with protrusions and elongations	
ARIH2	10425	"C,LA"			yes	gene			condensed cells		lammellipodia				
CHN1	1123	"C,LA"	X	X	yes	gene			condensed cells		lammellipodia				
CLDN4		"LA,C"		X	yes	gene			condensed cells		lammellipodia				
ELAC2	60528	"C,LA"	X	X	yes	gene			condensed cells		lammellipodia				
GABBR1	2550	"C,LA"			yes	gene			condensed cells		lammellipodia				
GTF3A	GTF3A	"C,LA"	X	X	yes	gene			condensed cells		lammellipodia				
LSR	51599	"C,LA"		X	yes	gene			condensed cells		lammellipodia				
NANOG		"LA,C"		X	yes	gene			condensed cells		lammellipodia				
NNT	23530	"LA,C"		X	yes	gene			condensed cells		lammellipodia				
NPHS1	4868	"C,LA"		X	yes	gene			condensed cells		lammellipodia				
OR8K1	390157	"C,LA"		X	yes	gene			condensed cells		lammellipodia				
PCDHB9	56127	"LA,C"	X	X	yes	gene			condensed cells		lammellipodia				
PRC1	9055	"LA,C"		X	yes	gene			condensed cells		lammellipodia				
SOCS7	30837	"C,LA"	X	X	yes	gene			condensed cells		lammellipodia				
TPRG1	285386	"C,LA"		X	yes	gene			condensed cells		lammellipodia				
TRAT1	50852	"LA,C"			yes	gene			condensed cells		lammellipodia				
USP1	7398	"C,LA"	X	X	yes	gene			condensed cells		lammellipodia				
VIT	5212	"C,LA"		X	yes	gene			condensed cells		lammellipodia				
ZFAND1	79752	"C,LA"		X	yes	gene			condensed cells		lammellipodia				
ACRC	93953	"N,C,M"		X	yes	gene			condensed cells			metaphase	normal cells		
UGCGL1	56886	"N,C,M"		X	yes	gene			condensed cells			metaphase	normal cells		
C12ORF59	120939	"P,C,M"		X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
CACNA1A		"P,C,M"	X		yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
CGRRF1	10668	"P,C,M"	X	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
CLUAP1	23059	"P,C,M"	X	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
DAND5	199699	"C,M,P"		X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
HDAC1	3065	"P,C,M"	X	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
TMBIM4	51643	"P,C,M"	X	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
TNPO2	30000	"P,M,C"	X	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
WFS1		"P,C,M"		X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
WWP2	11060	"P,C,M"	X		yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
C13ORF3	221150	"C,M"	X	X	yes	gene			condensed cells			metaphase			
C20ORF4	25980	"C,M"		X	yes	gene			condensed cells			metaphase			
CDKN2A	1029	"C,M"	X	X	yes	gene			condensed cells			metaphase			
CHST12	55501	"C,M"	X	X	yes	gene			condensed cells			metaphase			
COPA	1314	"C,M"	X	X	yes	gene			condensed cells			metaphase			
COPB2	9276	"C,M"	X	X	yes	gene			condensed cells			metaphase			
EIF4A3	9775	"M,C"	X	X	yes	gene			condensed cells			metaphase			
